Key,County,State,Country,Update,Confirmed,Deaths,Recovered,Active
"Caddo, Louisiana, US",caddo,louisiana,US,2020-04-22 23:30:53,1332,84,0,1248
"Caddo, Oklahoma, US",caddo,oklahoma,US,2020-04-22 23:30:53,53,4,0,49
"Calaveras, California, US",calaveras,california,US,2020-04-22 23:30:53,12,0,0,12
"Calcasieu, Louisiana, US",calcasieu,louisiana,US,2020-04-22 23:30:53,341,23,0,318
"Caldwell, Kentucky, US",caldwell,kentucky,US,2020-04-22 23:30:53,12,0,0,12
"Caldwell, Louisiana, US",caldwell,louisiana,US,2020-04-22 23:30:53,15,0,0,15
"Caldwell, Missouri, US",caldwell,missouri,US,2020-04-22 23:30:53,2,0,0,2
"Caldwell, North Carolina, US",caldwell,north-carolina,US,2020-04-22 23:30:53,23,0,0,23
"Caldwell, Texas, US",caldwell,texas,US,2020-04-22 23:30:53,9,0,0,9
"Caledonia, Vermont, US",caledonia,vermont,US,2020-04-22 23:30:53,12,0,0,12
